    mean_fit_time  std_fit_time  mean_score_time  std_score_time param_batch_size param_epochs param_optimizer                                                    params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
9      297.665490     14.219179         8.015346        0.728931               32            5         rmsprop   {'batch_size': 32, 'epochs': 5, 'optimizer': 'rmsprop'}           0.667283           0.667283           0.615527           0.659889           0.659889         0.653974        0.019506                1            0.832255            0.857671            0.838262            0.853050            0.855360          0.847320         0.010135
18     205.855164      9.836268         6.094442        0.332749               64            5         rmsprop   {'batch_size': 64, 'epochs': 5, 'optimizer': 'rmsprop'}           0.404806           0.648799           0.388170           0.683919           0.402957         0.505730        0.131748               18            0.400647            0.829020            0.404806            0.804529            0.401109          0.568022         0.203258
8     1506.432900     66.932780         7.793587        0.871326               16           20             SGD      {'batch_size': 16, 'epochs': 20, 'optimizer': 'SGD'}           0.428835           0.402957           0.425139           0.482440           0.410351         0.429945        0.027901               19            0.425139            0.432532            0.445009            0.426525            0.431608          0.432163         0.007023
5      757.635750     10.232515         6.449637        0.850364               16           10             SGD      {'batch_size': 16, 'epochs': 10, 'optimizer': 'SGD'}           0.404806           0.375231           0.390018           0.436229           0.402957         0.401848        0.020201               20            0.400647            0.408041            0.405268            0.392791            0.401109          0.401571         0.005171
20     180.918881      4.373147         5.398911        0.953280               64            5             SGD       {'batch_size': 64, 'epochs': 5, 'optimizer': 'SGD'}           0.404806           0.375231           0.388170           0.436229           0.402957         0.401479        0.020430               21            0.400647            0.408041            0.404806            0.392791            0.401109          0.401479         0.005107
2      456.124916     24.663634         5.402744        0.493793               16            5             SGD       {'batch_size': 16, 'epochs': 5, 'optimizer': 'SGD'}           0.404806           0.375231           0.388170           0.436229           0.402957         0.401479        0.020430               21            0.400647            0.408041            0.404806            0.392791            0.401109          0.401479         0.005107
23     326.393828     17.837287         4.064156        0.622587               64           10             SGD      {'batch_size': 64, 'epochs': 10, 'optimizer': 'SGD'}           0.404806           0.375231           0.388170           0.436229           0.402957         0.401479        0.020430               21            0.400647            0.408041            0.404806            0.392791            0.401109          0.401479         0.005107
14     562.672723      5.847278         6.656996        1.037081               32           10             SGD      {'batch_size': 32, 'epochs': 10, 'optimizer': 'SGD'}           0.404806           0.375231           0.388170           0.436229           0.402957         0.401479        0.020430               21            0.400647            0.408041            0.404806            0.392791            0.401109          0.401479         0.005107
11     296.173363     36.077273         6.704790        0.816886               32            5             SGD       {'batch_size': 32, 'epochs': 5, 'optimizer': 'SGD'}           0.404806           0.375231           0.388170           0.436229           0.402957         0.401479        0.020430               21            0.400647            0.408041            0.404806            0.392791            0.401109          0.401479         0.005107
26     515.603819     87.015783         3.091842        1.229148               64           20             SGD      {'batch_size': 64, 'epochs': 20, 'optimizer': 'SGD'}           0.404806           0.375231           0.388170           0.436229           0.402957         0.401479        0.020430               21            0.400647            0.408041            0.404806            0.392791            0.401109          0.401479         0.005107
17    1090.283063     37.719036         7.164110        0.228274               32           20             SGD      {'batch_size': 32, 'epochs': 20, 'optimizer': 'SGD'}           0.402957           0.375231           0.390018           0.430684           0.402957         0.400370        0.018284               27            0.402033            0.408041            0.405268            0.396026            0.401109          0.402495         0.004060
