    mean_fit_time  std_fit_time  mean_score_time  std_score_time param_batch_size param_epochs param_optimizer                                                    params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
34     596.192436     16.627559         2.624506        0.277768               64           20            adam     {'batch_size': 64, 'epochs': 20, 'optimizer': 'adam'}           0.696858           0.680222           0.639556           0.672828           0.682070         0.674307        0.019045                1            0.981516            0.978743            0.979205            0.975508            0.979667          0.978928         0.001952
9      213.548081      1.308632         3.039455        0.196759               16            5         rmsprop   {'batch_size': 16, 'epochs': 5, 'optimizer': 'rmsprop'}           0.656192           0.661738           0.613678           0.695009           0.635860         0.652495        0.027166               12            0.823013            0.829020            0.795749            0.816081            0.836876          0.820148         0.013990
7      955.064252     16.032007         3.661859        0.294508                8           20            adam      {'batch_size': 8, 'epochs': 20, 'optimizer': 'adam'}           0.676525           0.661738           0.621072           0.634011           0.637708         0.646211        0.020065               13            0.940388            0.929298            0.928836            0.919131            0.932532          0.930037         0.006845
10     187.968714      2.776406         2.946618        0.184786               16            5            adam      {'batch_size': 16, 'epochs': 5, 'optimizer': 'adam'}           0.670980           0.643253           0.613678           0.659889           0.637708         0.645102        0.019666               14            0.875231            0.854436            0.858133            0.840573            0.843808          0.854436         0.012258
16     878.449399     38.511697         3.714925        0.375734               16           20            adam     {'batch_size': 16, 'epochs': 20, 'optimizer': 'adam'}           0.665434           0.617375           0.634011           0.650647           0.652495         0.643993        0.016640               15            0.977819            0.975046            0.971811            0.967652            0.971349          0.972736         0.003458
3      670.281527     15.210832         3.774963        0.798439                8           10         rmsprop   {'batch_size': 8, 'epochs': 10, 'optimizer': 'rmsprop'}           0.598891           0.604436           0.615527           0.696858           0.611830         0.625508        0.036139               16            0.780961            0.756007            0.765712            0.817930            0.768946          0.777911         0.021540
1      306.265123     25.728119         3.883002        0.247332                8            5            adam       {'batch_size': 8, 'epochs': 5, 'optimizer': 'adam'}           0.630314           0.576710           0.606285           0.654344           0.621072         0.617745        0.025783               17            0.763863            0.714418            0.748152            0.730591            0.758318          0.743068         0.018261
30     377.395040     15.469125         3.304281        0.215237               64           10         rmsprop  {'batch_size': 64, 'epochs': 10, 'optimizer': 'rmsprop'}           0.632163           0.532348           0.602588           0.606285           0.667283         0.608133        0.044393               18            0.893253            0.681146            0.906654            0.785582            0.943161          0.841959         0.096018
31     329.755466     17.690514         2.912818        0.386612               64           10            adam     {'batch_size': 64, 'epochs': 10, 'optimizer': 'adam'}           0.687616           0.602588           0.547135           0.621072           0.530499         0.597782        0.056085               19            0.940388            0.826248            0.790203            0.835952            0.705638          0.819686         0.075833
18     214.356062      4.387298         3.639764        0.143184               32            5         rmsprop   {'batch_size': 32, 'epochs': 5, 'optimizer': 'rmsprop'}           0.554529           0.539741           0.595194           0.682070           0.593346         0.592976        0.049508               20            0.754159            0.644177            0.810074            0.854898            0.757856          0.764233         0.070537
0      347.030208      7.795310         4.029360        0.429680                8            5         rmsprop    {'batch_size': 8, 'epochs': 5, 'optimizer': 'rmsprop'}           0.589649           0.561922           0.550832           0.609982           0.602588         0.582994        0.022956               21            0.680684            0.681146            0.661738            0.657116            0.708410          0.677819         0.018124
17     815.459019     16.240647         3.801986        0.373523               16           20             SGD      {'batch_size': 16, 'epochs': 20, 'optimizer': 'SGD'}           0.589649           0.543438           0.578558           0.580407           0.569316         0.572274        0.015797               22            0.611368            0.592884            0.625231            0.574399            0.611830          0.603142         0.017677
19     202.485859      6.052901         3.395879        0.311357               32            5            adam      {'batch_size': 32, 'epochs': 5, 'optimizer': 'adam'}           0.510166           0.632163           0.449168           0.658041           0.573013         0.564510        0.077012               23            0.562384            0.791128            0.533272            0.778651            0.758780          0.684843         0.112723
26     736.214918     42.007231         3.145524        0.321645               32           20             SGD      {'batch_size': 32, 'epochs': 20, 'optimizer': 'SGD'}           0.550832           0.595194           0.547135           0.532348           0.582255         0.561553        0.023393               24            0.585490            0.670055            0.628928            0.545287            0.650185          0.615989         0.045142
35     461.878880    112.386074         1.493113        0.924516               64           20             SGD      {'batch_size': 64, 'epochs': 20, 'optimizer': 'SGD'}           0.545287           0.541590           0.545287           0.576710           0.539741         0.549723        0.013663               25            0.566081            0.620148            0.638632            0.585028            0.552680          0.592514         0.032348
14     401.866196     21.166147         3.521768        0.189239               16           10             SGD      {'batch_size': 16, 'epochs': 10, 'optimizer': 'SGD'}           0.539741           0.548983           0.534196           0.510166           0.548983         0.536414        0.014289               26            0.554067            0.598429            0.572551            0.488909            0.590111          0.560813         0.039056
23     364.419891      4.876807         3.407075        0.315310               32           10             SGD      {'batch_size': 32, 'epochs': 10, 'optimizer': 'SGD'}           0.471349           0.548983           0.539741           0.543438           0.552680         0.531238        0.030274               27            0.487061            0.597043            0.596118            0.530037            0.581793          0.558410         0.043259
8      829.073988     14.578855         3.442364        0.180941                8           20             SGD       {'batch_size': 8, 'epochs': 20, 'optimizer': 'SGD'}           0.554529           0.504621           0.502773           0.574861           0.512015         0.529760        0.029403               28            0.572089            0.533272            0.528651            0.544824            0.558226          0.547412         0.016028
28     186.997697     13.318463         3.064017        0.272896               64            5            adam      {'batch_size': 64, 'epochs': 5, 'optimizer': 'adam'}           0.456562           0.460259           0.475046           0.606285           0.600739         0.519778        0.068670               29            0.470887            0.532810            0.593346            0.704251            0.796211          0.619501         0.117213
5      450.359940     10.406843         3.394020        0.314573                8           10             SGD       {'batch_size': 8, 'epochs': 10, 'optimizer': 'SGD'}           0.523105           0.491682           0.523105           0.504621           0.547135         0.517930        0.018829               30            0.531885            0.516636            0.534658            0.472274            0.559150          0.522921         0.028759
27     192.325283      4.112719         3.757591        0.385923               64            5         rmsprop   {'batch_size': 64, 'epochs': 5, 'optimizer': 'rmsprop'}           0.423290           0.486137           0.521257           0.532348           0.589649         0.510536        0.054876               31            0.433919            0.616913            0.634011            0.557301            0.750924          0.598614         0.103554
2      257.416474      5.625645         3.999886        0.768703                8            5             SGD        {'batch_size': 8, 'epochs': 5, 'optimizer': 'SGD'}           0.463956           0.456562           0.380776           0.534196           0.528651         0.472828        0.056034               32            0.501386            0.515712            0.419131            0.496765            0.520795          0.490758         0.036890
11     180.911836     15.515371         3.034842        0.246470               16            5             SGD       {'batch_size': 16, 'epochs': 5, 'optimizer': 'SGD'}           0.434381           0.447320           0.510166           0.524954           0.415896         0.466543        0.043090               33            0.437153            0.511553            0.536506            0.503235            0.409889          0.479667         0.047915
20     194.186018      2.351032         3.237271        0.329480               32            5             SGD       {'batch_size': 32, 'epochs': 5, 'optimizer': 'SGD'}           0.502773           0.491682           0.329020           0.515712           0.402957         0.448429        0.071662               34            0.520795            0.523567            0.305453            0.507394            0.401109          0.451664         0.086010
32     304.302958      2.765903         2.715764        0.374924               64           10             SGD      {'batch_size': 64, 'epochs': 10, 'optimizer': 'SGD'}           0.484288           0.438078           0.316081           0.284658           0.473198         0.399261        0.082772               35            0.485213            0.502311            0.333179            0.315157            0.494455          0.426063         0.083567
29     175.351062      3.342984         3.084211        0.552578               64            5             SGD       {'batch_size': 64, 'epochs': 5, 'optimizer': 'SGD'}           0.319778           0.323475           0.388170           0.284658           0.513863         0.365989        0.081137               36            0.306377            0.305453            0.404806            0.315157            0.537893          0.373937         0.090049
